City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
60,Ostrovnoy,RU,68.0531,39.5131,34.72,99,100,12.88,overcast clouds,2021-05-07 15:18:15
61,Ushuaia,AR,-54.8,-68.3,42.8,93,75,6.91,broken clouds,2021-05-07 15:17:49
62,Chumikan,RU,54.7183,135.315,30.02,98,97,9.44,snow,2021-05-07 15:18:15
63,Szamotuly,PL,52.612,16.5779,39.99,87,75,14.97,moderate rain,2021-05-07 15:18:15
64,Hermanus,ZA,-34.4187,19.2345,59.0,97,100,1.01,light rain,2021-05-07 15:18:15
65,Mweka,CD,-4.85,21.5667,79.12,76,74,3.2,light rain,2021-05-07 15:18:16
66,Khandyga,RU,62.6667,135.6,35.11,90,90,3.42,overcast clouds,2021-05-07 15:18:16
67,Arroio Grande,BR,-32.2375,-53.0869,61.61,60,56,9.53,broken clouds,2021-05-07 15:18:16
68,Turayf,SA,31.6725,38.6637,86.0,21,0,9.22,clear sky,2021-05-07 15:18:17
69,Khatanga,RU,71.9667,102.5,35.56,97,100,15.32,light rain,2021-05-07 15:18:17
70,Comodoro Rivadavia,AR,-45.8667,-67.5,55.4,62,0,11.5,clear sky,2021-05-07 15:18:17
71,Alyangula,AU,-13.8483,136.4192,69.8,94,10,8.16,clear sky,2021-05-07 15:18:17
72,Jaru,BR,-10.4389,-62.4664,73.08,70,87,8.48,overcast clouds,2021-05-07 15:18:18
73,Asau,RO,46.4333,26.4,68.0,28,100,4.36,overcast clouds,2021-05-07 15:18:18
74,Arlit,NE,18.7369,7.3853,108.75,3,9,2.06,clear sky,2021-05-07 15:18:18
75,Avarua,CK,-21.2078,-159.775,73.4,78,90,3.44,overcast clouds,2021-05-07 15:18:18
76,Parrita,CR,9.5201,-84.3225,77.0,64,75,9.22,broken clouds,2021-05-07 15:18:19
77,Bambous Virieux,MU,-20.3428,57.7575,73.99,83,40,3.44,scattered clouds,2021-05-07 15:18:19
78,Amahai,ID,-3.3333,128.9167,77.85,88,97,2.68,overcast clouds,2021-05-07 15:18:19
79,Buchanan,LR,5.8808,-10.0467,87.8,70,75,11.5,broken clouds,2021-05-07 15:08:59
80,Puerto Ayora,EC,-0.7393,-90.3518,80.6,65,20,13.8,few clouds,2021-05-07 15:18:20
81,Khudumelapye,BW,-23.8833,24.75,78.13,26,5,3.33,clear sky,2021-05-07 15:18:20
82,Bobrovka,RU,54.047,61.7455,62.37,30,31,5.48,scattered clouds,2021-05-07 15:18:20
83,Sola,VU,-13.8833,167.55,81.68,79,100,20.13,overcast clouds,2021-05-07 15:08:40
84,Luderitz,NA,-26.6481,15.1594,68.0,61,0,26.57,clear sky,2021-05-07 15:18:20
85,Zhezkazgan,KZ,47.8043,67.7144,70.7,30,86,12.71,overcast clouds,2021-05-07 15:18:21
86,Trimbak,IN,19.9333,73.55,82.24,44,16,6.69,few clouds,2021-05-07 15:18:21
87,Airai,TL,-8.9266,125.4092,58.96,96,54,2.28,broken clouds,2021-05-07 15:18:21
88,Kaitangata,NZ,-46.2817,169.8464,46.67,87,100,2.37,overcast clouds,2021-05-07 15:18:22
89,Esperance,AU,-33.8667,121.9,55.4,100,75,5.75,broken clouds,2021-05-07 15:18:22
90,Kencong,ID,-8.2833,113.3667,76.91,81,69,1.36,broken clouds,2021-05-07 15:18:22
91,Zaranj,AF,30.9667,61.8833,89.6,22,20,9.22,few clouds,2021-05-07 15:18:22
92,Orcopampa,PE,-15.2661,-72.3417,52.75,58,93,1.01,overcast clouds,2021-05-07 15:08:29
93,Clyde River,CA,70.4692,-68.5914,28.4,93,75,14.97,broken clouds,2021-05-07 15:18:23
94,Butaritari,KI,3.0707,172.7902,82.26,78,26,13.24,light rain,2021-05-07 15:18:23
95,Ribeira Grande,PT,38.5167,-28.7,64.4,94,75,29.93,broken clouds,2021-05-07 15:18:23
96,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,78,40,13.8,scattered clouds,2021-05-07 15:18:24
97,Sorland,NO,67.667,12.6934,42.8,61,40,10.36,scattered clouds,2021-05-07 15:18:24
98,Teguldet,RU,57.3064,88.1667,48.07,63,42,5.88,scattered clouds,2021-05-07 15:18:24
99,San Quintin,MX,30.4833,-115.95,59.29,77,100,7.47,overcast clouds,2021-05-07 15:18:24
100,Jamestown,US,42.097,-79.2353,42.01,93,90,11.5,light rain,2021-05-07 15:17:19
101,Bethel,US,41.3712,-73.414,62.6,34,1,6.91,clear sky,2021-05-07 15:18:25
102,Alice Springs,AU,-23.7,133.8833,64.4,25,100,3.44,overcast clouds,2021-05-07 15:18:25
103,Provideniya,RU,64.3833,-173.3,30.31,69,8,7.92,clear sky,2021-05-07 15:18:25
104,Kapaa,US,22.0752,-159.319,69.8,88,75,8.05,broken clouds,2021-05-07 15:18:26
105,Maniitsoq,GL,65.4167,-52.9,34.09,80,9,9.73,clear sky,2021-05-07 15:18:08
106,Carnarvon,AU,-24.8667,113.6333,68.0,77,2,13.8,clear sky,2021-05-07 15:17:03
107,Hobart,AU,-42.8794,147.3294,59.0,82,100,4.61,light rain,2021-05-07 15:17:34
108,Chiredzi,ZW,-21.05,31.6667,76.15,37,3,7.2,clear sky,2021-05-07 15:18:26
109,Georgetown,MY,5.4112,100.3354,84.99,84,20,4.61,moderate rain,2021-05-07 15:17:43
110,Zhuhai,CN,22.2769,113.5678,80.6,89,20,6.91,few clouds,2021-05-07 15:18:26
111,Kununurra,AU,-15.7667,128.7333,62.6,94,99,3.2,overcast clouds,2021-05-07 15:16:11
112,Okhotsk,RU,59.3833,143.3,32.36,68,69,1.83,broken clouds,2021-05-07 15:18:27
113,Lusambo,CD,-4.9667,23.45,77.92,87,100,0.89,light rain,2021-05-07 15:18:27
114,Paraiso,CR,9.8383,-83.8656,75.2,64,75,9.22,broken clouds,2021-05-07 15:18:06
115,Nikolskoye,RU,59.7035,30.7861,46.99,76,90,8.95,overcast clouds,2021-05-07 15:18:27
116,Nsanje,MW,-16.92,35.262,76.06,50,8,5.77,clear sky,2021-05-07 15:18:28
117,Hamilton,US,39.1834,-84.5333,55.0,58,40,8.05,scattered clouds,2021-05-07 15:08:33
118,Cayenne,GF,4.9333,-52.3333,86.0,79,75,8.05,broken clouds,2021-05-07 15:18:28
119,Albany,US,42.6001,-73.9662,60.01,28,75,5.12,broken clouds,2021-05-07 15:18:28
120,Mitsamiouli,KM,-11.3847,43.2844,82.4,69,20,23.02,few clouds,2021-05-07 15:18:28
121,Batagay-Alyta,RU,67.8006,130.4114,25.74,98,100,2.1,overcast clouds,2021-05-07 15:08:51
122,Mar Del Plata,AR,-38.0023,-57.5575,57.2,72,20,4.61,few clouds,2021-05-07 15:15:00
123,Sertanopolis,BR,-23.0586,-51.0364,66.2,77,75,4.61,broken clouds,2021-05-07 15:18:29
124,Bilibino,RU,68.0546,166.4372,10.98,98,65,4.99,broken clouds,2021-05-07 15:18:29
125,Invermere,CA,50.5167,-116.0354,48.99,91,97,1.01,overcast clouds,2021-05-07 15:18:29
126,Te Anau,NZ,-45.4167,167.7167,46.18,86,100,1.03,overcast clouds,2021-05-07 15:18:30
127,Churapcha,RU,62.0025,132.4325,38.46,83,88,4.74,overcast clouds,2021-05-07 15:18:30
128,Port Lincoln,AU,-34.7333,135.8667,60.53,91,36,4.5,scattered clouds,2021-05-07 15:18:30
129,Narasannapeta,IN,18.4167,84.05,84.76,74,10,9.62,clear sky,2021-05-07 15:18:30
130,Redmond,US,47.674,-122.1215,48.99,84,99,6.33,overcast clouds,2021-05-07 15:15:49
131,Thompson,CA,55.7435,-97.8558,33.8,60,40,12.66,scattered clouds,2021-05-07 15:18:31
132,Tshikapa,CD,-6.4167,20.8,82.42,73,96,1.61,overcast clouds,2021-05-07 15:18:31
