City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Fuerte,PH,83.16,few clouds,17.5381,120.3644,Giordion Inn
236,Grumo Appula,IT,78.01,clear sky,41.0135,16.7085,Dimora D'Amato
237,Cabo San Lucas,MX,77.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
239,San Ignacio,BZ,78.8,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
243,Cockburn Town,TC,80.15,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
251,Waingapu,ID,76.26,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
254,San Cristobal,VE,78.8,fog,7.7669,-72.225,Posada Villaven C.A.
258,Meulaboh,ID,79.12,heavy intensity rain,4.1363,96.1285,Kost Pria
260,Omboue,GA,80.37,overcast clouds,-1.5746,9.2618,Hotel Olako
265,Pafos,CY,79.0,clear sky,34.7667,32.4167,Elysium Hotel
271,Lethem,GY,87.94,broken clouds,3.3803,-59.7968,Savannah Inn
272,Maragogi,BR,82.0,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
275,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
291,Coxim,BR,77.86,broken clouds,-18.5067,-54.76,Hotel Avenida
293,Kavaratti,IN,85.62,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
297,Ternate,ID,81.66,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
299,Bathsheba,BB,86.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
302,Bengkulu,ID,78.91,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
305,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
307,Ixtapa,MX,77.0,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
308,Cavalcante,BR,83.43,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
310,Mogadishu,SO,80.6,light rain,2.0371,45.3438,Hotel Juba
311,Bartica,GY,77.0,light rain,6.4,-58.6167,Relax Inn Hotel
316,Puri,IN,86.0,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
318,Victoria,HK,80.01,scattered clouds,22.2855,114.1577,Mini Hotel Central
325,Namwala,ZM,77.09,clear sky,-15.7504,26.4384,Corner Point Lodge
328,Puerto Escondido,MX,82.4,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
331,Kudahuvadhoo,MV,85.5,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
336,Zhanakorgan,KZ,78.93,broken clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
338,Dickinson,US,80.01,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
339,Motozintla,MX,78.8,broken clouds,15.3667,-92.2333,Hotel Maya
341,Pochutla,MX,88.0,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
344,Itarema,BR,84.09,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
347,Ambulu,ID,75.67,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
355,Poum,NC,78.08,overcast clouds,-20.2333,164.0167,Gîte kajeon
357,Colombo,LK,78.8,scattered clouds,6.9319,79.8478,Galle Face Hotel
358,Pandan,PH,79.97,overcast clouds,14.0453,124.1694,Bonifacio Lodge
365,Jawhar,SO,78.15,overcast clouds,2.7809,45.5005,cosoble spare parts
367,Urumqi,CN,78.8,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
370,Kuching,MY,78.01,few clouds,1.55,110.3333,The Ranee Boutique Suites
371,Karratha,AU,80.19,clear sky,-20.7377,116.8463,ibis Styles Karratha
372,Daru,PG,80.1,overcast clouds,-9.0763,143.2092,Daru Lodge
373,Denpasar,ID,82.4,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
377,Ruwi,OM,89.6,broken clouds,23.5996,58.5507,Al Falaj Hotel
378,Jacareacanga,BR,86.0,clear sky,-6.2222,-57.7528,Casa do Ian😎
379,Vila Velha,BR,89.6,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
383,Roebourne,AU,80.96,few clouds,-20.7833,117.1333,Harding River Caravan Park
386,Vaitape,PF,82.38,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
390,Pachino,IT,77.0,few clouds,36.7186,15.0907,Pietra Bianca B&B
391,Pocoes,BR,82.4,overcast clouds,-14.5297,-40.3653,Poções Palace Hotel
392,Trincomalee,LK,85.12,overcast clouds,8.5711,81.2335,Welcombe Hotel
393,La Libertad,EC,78.8,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
