City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mar Del Plata,AR,2021-03-21 22:04:45,-38.0023,-57.5575,61.0,67,20,13.8
68,Snezhnogorsk,RU,2021-03-21 22:04:46,69.1933,33.2531,21.2,86,40,6.71
69,Sorong,ID,2021-03-21 22:04:46,-0.8833,131.25,80.53,80,18,6.35
70,Nchelenge,ZM,2021-03-21 22:04:46,-9.3451,28.734,71.22,83,94,1.97
71,Ouesso,CG,2021-03-21 22:04:46,1.6136,16.0517,68.52,93,81,0.67
72,Salina,US,2021-03-21 22:04:47,38.8403,-97.6114,68.0,45,1,21.85
73,Pandan,PH,2021-03-21 22:04:47,14.0453,124.1694,79.09,85,56,9.48
74,Sikonge,TZ,2021-03-21 22:04:47,-5.6333,32.7667,66.2,82,20,4.68
75,Drummondville,CA,2021-03-21 22:00:06,45.8834,-72.4824,50.0,37,16,9.22
76,Saint-Philippe,RE,2021-03-21 22:04:48,-21.3585,55.7679,77.0,88,40,2.3
77,Hamilton,US,2021-03-21 22:04:48,39.1834,-84.5333,66.2,22,1,8.05
78,Nayoro,JP,2021-03-21 22:04:48,44.3506,142.4578,36.48,90,100,16.13
79,Cape Town,ZA,2021-03-21 22:03:16,-33.9258,18.4232,66.0,63,0,14.97
80,Tahe,CN,2021-03-21 22:04:49,52.3333,124.7333,14.11,89,53,4.0
81,Dikson,RU,2021-03-21 22:04:49,73.5069,80.5464,-10.97,66,100,3.04
82,Upernavik,GL,2021-03-21 22:04:49,72.7868,-56.1549,-9.42,94,100,3.76
83,Tura,IN,2021-03-21 22:04:49,25.5198,90.2201,71.11,32,0,2.39
84,Georgetown,MY,2021-03-21 22:01:27,5.4112,100.3354,80.6,78,20,4.61
85,Alice Springs,AU,2021-03-21 22:04:50,-23.7,133.8833,66.2,100,90,5.75
86,Lubyany,RU,2021-03-21 22:04:50,56.0378,51.4,17.6,79,0,8.95
87,Hithadhoo,MV,2021-03-21 22:04:50,-0.6,73.0833,82.62,75,99,10.36
88,Ginir,ET,2021-03-21 22:04:51,7.1333,40.7,59.47,54,68,4.74
89,Gushikawa,JP,2021-03-21 22:04:51,26.3544,127.8686,60.8,63,90,18.41
90,Maneadero,MX,2021-03-21 22:04:51,31.7167,-116.5667,62.01,72,1,4.0
91,Trinidad,BO,2021-03-21 22:04:52,-14.8333,-64.9,77.0,94,90,3.44
92,Nouakchott,MR,2021-03-21 22:02:57,18.0858,-15.9785,69.8,68,94,14.97
93,Itoman,JP,2021-03-21 22:04:52,26.1247,127.6694,60.8,59,75,21.85
94,Vila Velha,BR,2021-03-21 22:04:09,-20.3297,-40.2925,84.99,83,20,2.3
95,Kaitangata,NZ,2021-03-21 22:04:52,-46.2817,169.8464,63.0,69,62,8.01
96,Clyde River,CA,2021-03-21 22:04:52,70.4692,-68.5914,-16.6,76,90,10.36
97,Bambous Virieux,MU,2021-03-21 22:04:53,-20.3428,57.7575,79.0,89,75,8.05
98,Magdagachi,RU,2021-03-21 22:04:53,53.45,125.8,9.77,92,21,2.71
99,Myaundzha,RU,2021-03-21 22:04:53,63.0494,147.1858,-9.99,99,100,3.2
